Date,EURUSD=X,JPY=X,GBPUSD=X,AUDUSD=X,CHF=X,CAD=X,NZDUSD=X,CNY=X,INR=X,SGD=X
2015-02-12,1.131196141242981,120.16999816894531,1.5242739915847778,0.7722604274749756,0.9286999702453613,1.2617000341415405,0.7375718951225281,6.2322998046875,62.38199996948242,1.3598400354385376
2015-02-13,1.140393853187561,118.91600036621094,1.5391956567764282,0.7756748795509338,0.9299399852752686,1.250920057296753,0.7433286309242249,6.234499931335449,62.16999816894531,1.35548996925354
2015-02-16,1.1400039196014404,118.56999969482422,1.5400489568710327,0.7765783667564392,0.9316999912261963,1.245419979095459,0.7479431629180908,6.230299949645996,62.069000244140625,1.3546700477600098
2015-02-17,1.1334012746810913,118.49199676513672,1.5356265306472778,0.7756748795509338,0.9324700236320496,1.2474600076675415,0.7485030293464661,6.23859977722168,62.18600082397461,1.3571300506591797
2015-02-18,1.1404719352722168,119.20800018310547,1.5353436470031738,0.78118896484375,0.9361400008201599,1.2390799522399902,0.7539203763008118,6.244100093841553,62.11199951171875,1.3559800386428833
2015-02-19,1.1400039196014404,118.68900299072266,1.543900728225708,0.7808229923248291,0.9419000148773193,1.2454999685287476,0.7551158666610718,6.244100093841553,62.07400131225586,1.3567999601364136
2015-02-20,1.1366735696792603,118.98799896240234,1.5419963598251343,0.7795447707176208,0.949429988861084,1.2490299940109253,0.7519361972808838,6.244100093841553,62.165000915527344,1.358620047569275
2015-02-23,1.1381484270095825,119.07599639892578,1.5389113426208496,0.7846214175224304,0.9405999779701233,1.253290057182312,0.7530120611190796,6.244100093841553,62.10100173950195,1.3603999614715576
2015-02-24,1.1332985162734985,118.90299987792969,1.5452368259429932,0.7799704074859619,0.9506000280380249,1.2573000192642212,0.7531254291534424,6.245100021362305,62.17100143432617,1.3593900203704834
2015-02-25,1.1339025497436523,118.89199829101562,1.545905590057373,0.7833307385444641,0.9501000046730042,1.2496000528335571,0.7483909726142883,6.245100021362305,62.233001708984375,1.357300043106079
2015-02-26,1.1363636255264282,118.8219985961914,1.552891492843628,0.7883948683738708,0.9485099911689758,1.2431199550628662,0.7571169137954712,6.249499797821045,61.87699890136719,1.3535399436950684
2015-02-27,1.1205360889434814,119.37699890136719,1.5418059825897217,0.780579149723053,0.9526000022888184,1.2503000497817993,0.7539203763008118,6.249499797821045,61.75400161743164,1.3566099405288696
2015-03-02,1.1161960363388062,119.82599639892578,1.5406184196472168,0.7785736322402954,0.9542999863624573,1.2514499425888062,0.7548878788948059,6.258600234985352,61.6510009765625,1.3644399642944336
2015-03-03,1.1179054975509644,120.2040023803711,1.5359095335006714,0.7756748795509338,0.9585000276565552,1.2539000511169434,0.7505817413330078,6.263700008392334,61.9010009765625,1.3658299446105957
2015-03-04,1.118217945098877,119.63700103759766,1.5366648435592651,0.7820442914962769,0.9607999920845032,1.2482999563217163,0.7562580704689026,6.263700008392334,61.8129997253418,1.3619500398635864
2015-03-05,1.1082050800323486,119.6510009765625,1.52650785446167,0.7823501825332642,0.9634000062942505,1.2424399852752686,0.7591285705566406,6.2606000900268555,62.30500030517578,1.3668999671936035
