date,open,high,low,close,volume,gold_close,oil_close,vix,next_return,target,lag_1,lag_2,rolling_5,rolling_10,daily_return,price_range,gold_return,oil_return,open_scaled,high_scaled,low_scaled,close_scaled,volume_scaled,gold_close_scaled,oil_close_scaled,vix_scaled,lag_1_scaled,lag_2_scaled,rolling_5_scaled,rolling_10_scaled,daily_return_scaled,price_range_scaled,gold_return_scaled,oil_return_scaled,true_label,pred_label,pred_proba_up,correct,error_type
2024-09-30,428.21,430.42,425.37,430.3,15793208.0,2636.10009765625,68.16999816894531,16.73,-0.022333255867999058,0,428.02,431.31,430.462,431.53000000000003,0.005326853885332605,5.050000000000011,-0.0031009911963315595,-0.00014670190944121586,1.4311105663152734,1.4302743305029395,1.4469244905122753,1.4627043947444291,-0.8383840571369386,3.3883191401305033,-0.10736465021533415,-0.25559269735150414,1.4528133866258,1.471611137406623,1.409536448048568,1.38321874219027,-0.03338820547499127,0.037056854351888054,-0.3261144981249852,-0.06747803627206998,0,1,0.5459746098645908,0,false_positive
2024-10-01,428.45,428.48,418.81,420.69,18195547.0,2667.300048828125,69.83000183105469,19.26,-0.008462288145665409,0,430.3,428.02,427.898,430.899,-0.022333255867999058,9.670000000000016,0.011835647363927837,0.024350941861482678,1.4330718313312087,1.4144350097975182,1.3927443166566869,1.3835413320153216,-0.643346039122296,3.5177929624475777,-0.04393916073601318,0.004628439187451962,1.4717004576801211,1.4445290473936578,1.3891619352608597,1.3783290034735745,-1.045033931866685,1.3047552409175776,0.9592678160884393,0.6440488023985571,0,1,0.5459714772659896,0,false_positive
2024-10-04,418.24,419.75,414.97,416.06,17319719.0,2645.800048828125,74.37999725341797,19.21,-0.0156708167091284,0,420.69,430.3,425.276,429.371,-0.011005728683828986,4.779999999999973,-0.00806058546335875,0.06515817418094083,1.3496363487782956,1.3431580666231222,1.3610290929363427,1.345401375674451,-0.7144516396398451,3.428572079873683,0.12990725501547593,-0.0005142710208278739,1.3920931099467766,1.4632971827217918,1.3683265325582965,1.3664882415732404,-0.6307389573114558,-0.03702941499287057,-0.7529156643172487,1.829282830563498,0,1,0.5460960401143974,0,false_positive
2024-10-07,416.0,417.11,409.0,409.54,19304152.0,2644.800048828125,77.13999938964844,22.64,0.012623919519460847,1,416.06,420.69,420.922,426.81000000000006,-0.0156708167091284,8.110000000000014,-0.00037795751059988003,0.03710677921682293,1.3313312086295663,1.3216035271064666,1.3117218310586196,1.291692409077804,-0.5533420380378851,3.424422271381874,0.2353615322861335,0.3522756492671638,1.3537391016215545,1.3841911386413686,1.3337280034328352,1.3466425666866213,-0.8013607084947374,0.8767012402590328,-0.09178203258890331,1.0145383365314002,1,1,0.5460551177372923,1,correct
2024-10-08,410.9,415.66,408.17,414.71,18121969.0,2615.0,73.56999969482422,21.42,0.006631139832654176,1,409.54,416.06,418.26000000000005,425.2,0.012623919519460847,7.490000000000009,-0.011267410873396222,-0.04627948824307726,1.2896543270409415,1.3097648595689095,1.3048667175982327,1.3342806540631817,-0.6493195954311607,3.300757775698597,0.09895883435622163,0.2267935201851377,1.2997287054486717,1.3460786533039744,1.3125747456165795,1.3341663712288083,0.23349595839121906,0.7065772143562769,-1.0288811467919612,-1.4073912102075576,1,1,0.5460771996098893,1,correct
2024-10-11,416.135,417.13,413.25,416.32,13455365.0,2657.60009765625,75.55999755859375,20.46,0.006773635664873101,1,414.71,409.54,415.46399999999994,422.963,0.0038822309565720303,3.8799999999999955,0.016290668319789647,0.027049039989455625,1.3324344202010299,1.3217668190725016,1.3468233156449383,1.3475431442810657,-1.0281858566121194,3.4775400227043973,0.17499275611998544,0.1280534841861662,1.3425559674446537,1.2924083715761536,1.2903566731694518,1.3168314338132021,-0.08622409893893737,-0.28398364614202437,1.3426475921346175,0.7224142668232741,1,1,0.5460664089746541,1,correct
2024-10-15,422.18,422.48,415.26,418.74,17712232.0,2661.39990234375,70.58000183105469,20.64,-0.006256865835602032,0,416.32,414.71,415.07399999999996,421.486,0.005812836279784905,7.220000000000027,0.0014297879845996952,-0.06590783335689332,1.3818337827898997,1.3654474199869369,1.3634242530610559,1.367478067465711,-0.6825847975476252,3.493308484463801,-0.015283129309525596,0.14656724093597331,1.3558928904259946,1.3349659415965265,1.2872575858109472,1.305385880588861,-0.015613799775460256,0.6324909450115339,0.06378470210539658,-1.9774907053984325,0,1,0.5461831412159301,0,false_positive
2024-10-21,416.12,418.96,413.7501,418.78,12621668.0,2723.10009765625,70.55999755859375,18.37,0.020846267730073142,1,418.74,416.32,415.61800000000005,420.447,9.55246692457834e-05,5.209900000000005,0.02318336122961595,-0.00028342691898508576,1.3323118411375339,1.3367080339647288,1.3509537279841424,1.3678075703282668,-1.095870979529723,3.74935247891789,-0.016047453389931788,-0.08691180251992787,1.3759396939134758,1.3482188792624457,1.29158041535717,1.297334472464223,-0.2247197617123916,0.08093238941938698,1.9358028410784691,-0.07144917385238807,1,1,0.5460517125192423,1,correct
2024-10-22,418.49,430.5793,418.04,427.51,24276062.0,2744.199951171875,72.08999633789062,18.2,-0.006806858319103548,0,418.78,418.74,419.212,420.067,0.020846267730073142,12.539299999999969,0.007748467834063577,0.02168365691943719,1.3516793331698949,1.43157495101241,1.3863847535669305,1.4397215700811399,-0.14968898484798082,3.8369128302129574,0.042410804079426725,-0.10439701722807923,1.3762710460372356,1.3681394439528334,1.3201396973224677,1.2943897803685904,0.5342215701964435,2.0920727691801035,0.6075428773408137,0.5665782978719163,0,1,0.5460370851208237,0,false_positive
2024-10-24,425.325,425.9782,422.4,424.73,12832122.0,2734.89990234375,70.19000244140625,19.08,0.008052174322510597,1,427.51,418.78,421.216,419.738,-0.0065027718649856014,3.578200000000038,-0.003388983672328094,-0.026355860632576222,1.4075345264362182,1.394008817766166,1.4223947471660712,1.4168211211334898,-1.0787849100602378,3.7983194086117655,-0.030184242330961064,-0.01388531756235552,1.4485886470478597,1.3684687094849055,1.336064238518477,1.2918402969489504,-0.4660470214321866,-0.36679563165403106,-0.35089788119869675,-0.8287153219829005,1,1,0.5460509457666934,1,correct
