Date,Open,High,Low,Close,Volume,gold_close,oil_close,vix,spy_close
2015-02-17,43.97,44.0,43.19,43.58,33695149.0,1208.0999755859375,53.52999877929688,15.800000190734863,174.000732421875
2015-02-18,43.63,43.7,43.39,43.53,27111657.0,1199.699951171875,52.13999938964844,15.449999809265137,174.0172882080078
2015-02-19,43.18,43.5263,43.05,43.5,27556420.0,1207.0999755859375,51.15999984741211,15.289999961853027,173.89308166503906
2015-02-20,43.51,43.88,43.29,43.855,29721133.0,1204.4000244140625,50.34000015258789,14.300000190734863,174.93649291992188
2015-02-23,43.7,44.19,43.65,44.15,32518754.0,1200.300048828125,49.45000076293945,14.5600004196167,174.9116668701172
2015-02-24,44.15,44.3,43.92,44.09,25271747.0,1196.9000244140625,49.27999877929688,13.6899995803833,175.40858459472656
2015-02-25,43.95,44.09,43.8,43.99,29759820.0,1201.0,50.9900016784668,13.84000015258789,175.25946044921875
2015-02-26,43.99,44.23,43.89,44.055,28957329.0,1209.5999755859375,48.16999816894531,13.90999984741211,175.05242919921875
2015-02-27,44.13,44.2,43.66,43.85,33807740.0,1212.5999755859375,49.7599983215332,13.34000015258789,174.45619201660156
2015-03-02,43.67,44.19,43.55,43.88,31924049.0,1207.699951171875,49.59000015258789,13.039999961853027,175.55767822265625
2015-03-03,43.56,43.825,43.09,43.28,31748648.0,1204.0,50.52000045776367,13.859999656677246,174.83714294433594
2015-03-04,43.01,43.21,42.88,43.055,25748692.0,1200.5999755859375,51.52999877929688,14.229999542236328,174.10006713867188
2015-03-05,43.07,43.24,42.82,43.11,23193541.0,1195.9000244140625,50.7599983215332,14.039999961853027,174.29055786132812
2015-03-06,43.0,43.11,42.15,42.36,36248785.0,1164.0999755859375,49.61000061035156,15.199999809265137,171.8392791748047
2015-03-09,42.19,43.125,42.19,42.85,32107782.0,1166.4000244140625,50.0,15.0600004196167,172.5514373779297
2015-03-10,42.35,42.71,42.03,42.03,38974730.0,1160.0999755859375,48.290000915527344,16.690000534057617,169.75230407714844
2015-03-11,42.31,42.37,41.84,41.98,32215314.0,1150.699951171875,48.16999816894531,16.8700008392334,169.3548583984375
2015-03-12,41.33,41.65,40.86,41.02,59975402.0,1152.0999755859375,47.04999923706055,15.420000076293945,171.5080108642578
2015-03-13,40.7,41.47,40.61,41.38,58007705.0,1152.5999755859375,44.84000015258789,16.0,170.456298828125
2015-03-16,41.47,41.64,41.28,41.56,35123277.0,1153.300048828125,43.880001068115234,15.609999656677246,172.7335968017578
2015-03-17,41.37,41.83,41.15,41.695,31673448.0,1148.300048828125,43.459999084472656,15.65999984741211,172.22019958496094
2015-03-18,41.43,42.83,41.33,42.5,44194771.0,1151.4000244140625,44.65999984741211,13.970000267028809,174.29055786132812
2015-03-19,42.26,42.59,42.22,42.285,33878964.0,1169.0999755859375,43.959999084472656,14.069999694824219,173.49551391601562
2015-03-20,42.56,42.98,42.49,42.88,71904529.0,1184.800048828125,45.720001220703125,13.020000457763672,175.02699279785156
2015-03-23,42.88,43.13,42.78,42.855,26076086.0,1188.0,47.45000076293945,13.40999984741211,174.6859130859375
2015-03-24,42.78,43.17,42.75,42.9,25513252.0,1191.699951171875,47.5099983215332,13.619999885559082,173.7042999267578
2015-03-25,42.92,42.925,41.44,41.46,43469907.0,1197.300048828125,49.209999084472656,15.4399995803833,171.15892028808594
2015-03-26,41.22,41.61,40.92,41.21,37495626.0,1205.0999755859375,51.43000030517578,15.800000190734863,170.7512969970703
2015-03-27,41.12,41.43,40.83,40.97,34359398.0,1199.800048828125,48.869998931884766,15.069999694824219,171.14224243164062
2015-03-30,41.1,41.54,40.91,40.96,35049484.0,1184.800048828125,48.68000030517578,14.510000228881836,173.23016357421875
2015-03-31,40.78,41.03,40.54,40.655,34886963.0,1183.0999755859375,47.59999847412109,15.289999961853027,171.71624755859375
2015-04-01,40.6,40.76,40.31,40.72,36865322.0,1208.0999755859375,50.09000015258789,15.109999656677246,171.1089630126953
2015-04-02,40.66,40.74,40.12,40.29,37487476.0,1200.9000244140625,49.13999938964844,14.670000076293945,171.72454833984375
2015-04-06,40.34,41.78,40.18,41.545,39223692.0,1218.5999755859375,52.13999938964844,14.739999771118164,172.88084411621094
2015-04-07,41.61,41.91,41.31,41.53,28809300.0,1210.5999755859375,53.97999954223633,14.779999732971191,172.42330932617188
2015-04-08,41.46,41.69,41.04,41.42,24753438.0,1203.0999755859375,50.41999816894531,13.979999542236328,173.005615234375
2015-04-09,41.25,41.62,41.25,41.48,25723861.0,1193.5999755859375,50.790000915527344,13.09000015258789,173.77088928222656
2015-04-10,41.63,41.95,41.41,41.72,28022002.0,1204.5999755859375,51.63999938964844,12.579999923706055,174.71917724609375
2015-04-13,41.4,42.06,41.39,41.76,30276692.0,1199.300048828125,51.90999984741211,13.9399995803833,173.9289093017578
2015-04-14,41.8,42.03,41.39,41.65,24244278.0,1192.800048828125,53.290000915527344,13.670000076293945,174.26168823242188
2015-04-15,41.76,42.46,41.68,42.255,27343571.0,1201.5,56.38999938964844,12.84000015258789,175.04360961914062
2015-04-16,41.95,42.34,41.82,42.16,22509652.0,1198.0,56.709999084472656,12.600000381469727,174.99366760253906
2015-04-17,41.67,41.74,41.16,41.615,42387608.0,1202.9000244140625,55.7400016784668,13.890000343322754,172.98062133789062
2015-04-20,41.73,43.17,41.68,42.905,46057733.0,1193.5,56.380001068115234,13.300000190734863,174.5612030029297
2015-04-21,43.0,43.15,42.53,42.635,26013844.0,1202.9000244140625,55.2599983215332,13.25,174.3531494140625
2015-04-22,42.67,43.13,42.55,42.985,25064273.0,1186.9000244140625,56.15999984741211,12.710000038146973,175.20994567871094
2015-04-23,42.89,43.61,42.8,43.34,46309530.0,1194.4000244140625,57.7400016784668,12.479999542236328,175.6508331298828
2015-04-24,45.66,48.14,45.65,47.87,130852065.0,1175.199951171875,57.150001525878906,12.289999961853027,176.0584716796875
2015-04-27,47.23,48.13,47.22,48.03,59248172.0,1203.300048828125,56.9900016784668,13.119999885559082,175.32643127441406
2015-04-28,47.78,49.21,47.7,49.155,60730778.0,1214.0,57.060001373291016,12.40999984741211,175.88369750976562
2015-04-29,48.72,49.31,48.5,49.06,47800619.0,1209.800048828125,58.58000183105469,13.390000343322754,175.16006469726562
2015-04-30,48.7,49.54,48.6,48.64,64725457.0,1182.4000244140625,59.630001068115234,14.550000190734863,173.4048614501953
2015-05-01,48.58,48.875,48.4,48.655,38937236.0,1174.5,59.150001525878906,12.699999809265137,175.28485107421875
2015-05-04,48.37,48.87,48.18,48.24,34039485.0,1186.800048828125,58.93000030517578,12.850000381469727,175.7838897705078
2015-05-05,47.82,48.16,47.31,47.6,50369042.0,1193.199951171875,60.400001525878906,14.3100004196167,173.77088928222656
2015-05-06,47.57,47.77,46.02,46.28,52432720.0,1190.300048828125,60.93000030517578,15.149999618530273,173.05543518066406
2015-05-07,46.27,47.085,46.16,46.7,32971504.0,1182.4000244140625,58.93999862670898,15.130000114440918,173.74591064453125
2015-05-08,47.55,47.98,47.52,47.75,35364876.0,1189.0999755859375,59.38999938964844,12.859999656677246,176.0334930419922
2015-05-11,47.55,47.91,47.37,47.37,24607998.0,1183.199951171875,59.25,13.850000381469727,175.1933135986328
2015-05-12,46.85,47.68,46.42,47.35,29928264.0,1192.5999755859375,60.75,13.859999656677246,174.6692657470703
2015-05-13,48.19,48.32,47.57,47.625,34184613.0,1218.4000244140625,60.5,13.760000228881836,174.7025604248047
2015-05-14,48.0301,48.82,48.03,48.72,32980892.0,1225.4000244140625,59.880001068115234,12.739999771118164,176.5242156982422
2015-05-15,48.87,48.905,48.05,48.295,28292686.0,1225.5,59.68999862670898,12.380000114440918,176.71560668945312
