date,msft_open,msft_high,msft_low,msft_close,msft_volume,gold_close,gold_volume,vix_close,vix_volume,asml_close,asml_volume,nvda_close,nvda_volume,amd_close,amd_volume,amzn_close,amzn_volume,crm_close,crm_volume,pltr_close,pltr_volume
2019-01-02,92.73067813841664,94.77997198732668,92.1624634871992,94.19313049316406,35329300.0,1281.0,149.0,23.21999931335449,0.0,145.22427368164062,602500.0,3.37305235862732,508752000.0,18.82999992370605,87148700.0,76.95649719238281,159662000.0,133.58872985839844,4783900.0,9.5,338584400.0
2019-01-03,93.24302540223349,93.3268639870067,90.54167754942657,90.7279815673828,42579100.0,1291.800048828125,10.0,25.450000762939453,0.0,137.2151336669922,1078600.0,3.169261693954468,705552000.0,17.049999237060547,117277600.0,75.01399993896484,139512000.0,128.51319885253906,6365700.0,9.5,338584400.0
2019-01-04,92.88904362449492,95.48792562993351,92.15315886108225,94.9476547241211,44060600.0,1282.699951171875,34.0,21.3799991607666,0.0,143.15232849121094,589500.0,3.372309446334839,585620000.0,19.0,111878600.0,78.76950073242188,183652000.0,135.96383666992188,6650600.0,9.5,338584400.0
2019-01-07,94.67752075279836,96.1958609703722,94.06273534882985,95.0687484741211,35656100.0,1286.800048828125,2.0,21.399999618530277,0.0,146.4228515625,971900.0,3.550842523574829,709160000.0,20.56999969482422,107157000.0,81.47550201416016,159864000.0,140.16220092773438,9064800.0,9.5,338584400.0
2019-01-08,95.98160666219536,96.84790055480003,94.7427119468028,95.75804901123048,31514400.0,1283.199951171875,54.0,20.46999931335449,0.0,145.34503173828125,531700.0,3.462441921234131,786016000.0,20.75,121271000.0,82.8290023803711,177628000.0,143.61155700683594,9057300.0,9.5,338584400.0
2019-01-09,96.74543914679175,97.69556453271322,96.167907492278,97.12734985351562,32280800.0,1289.300048828125,102.0,19.979999542236328,0.0,151.3751678466797,779900.0,3.530537843704224,617260000.0,20.190000534057617,163944100.0,82.97100067138672,126976000.0,143.87765502929688,5445900.0,9.5,338584400.0
2019-01-10,96.14928322503938,96.64297632847756,95.3668207332209,96.50325012207033,30067600.0,1284.699951171875,0.0,19.5,0.0,151.08712768554688,1028100.0,3.596156120300293,523156000.0,19.739999771118164,115629400.0,82.81099700927734,130154000.0,144.91246032714844,5116900.0,9.5,338584400.0
2019-01-11,96.121332859087,96.3542074849832,94.67750733582264,95.75804901123048,28314200.0,1287.0999755859375,11.0,18.190000534057617,0.0,150.5389404296875,639600.0,3.685297727584839,874764000.0,20.270000457763672,85110800.0,82.02799987792969,93724000.0,145.41506958007812,5185200.0,9.5,338584400.0
2019-01-14,94.91970677496842,95.82326153514298,94.32354825198588,95.05943298339844,28437100.0,1289.0999755859375,7.0,19.06999969482422,0.0,147.4449462890625,680200.0,3.725165367126465,730168000.0,20.229999542236328,71350200.0,80.8604965209961,120118000.0,143.936767578125,5815500.0,9.5,338584400.0
2019-01-15,95.48791180465614,97.85391881227768,94.9010632100521,97.81665802001952,31587600.0,1286.199951171875,3.0,18.600000381469727,0.0,147.9466552734375,482700.0,3.711050510406494,617012000.0,20.3799991607666,62785800.0,83.72799682617188,119970000.0,147.03135681152344,5350400.0,9.5,338584400.0
2019-01-16,98.04954063884692,98.98103920096884,97.77008822750236,98.16131591796876,29853900.0,1291.5999755859375,2.0,19.040000915527344,0.0,146.1348876953125,537600.0,3.685545682907105,470104000.0,19.729999542236328,70849300.0,84.18900299072266,127338000.0,146.39073181152344,3936800.0,9.5,338584400.0
2019-01-17,97.80735074745706,99.32569087205177,97.58379307850136,98.8506317138672,28393000.0,1291.0,10.0,18.059999465942383,0.0,146.37643432617188,953000.0,3.756860256195069,493436000.0,20.25,85018400.0,84.66100311279297,84178000.0,147.65223693847656,3743200.0,9.5,338584400.0
2019-01-18,100.0988285596336,100.5086901762666,98.65501014000569,100.33170318603516,37427600.0,1281.300048828125,3.0,17.799999237060547,0.0,151.17076110839844,1664700.0,3.88586950302124,651336000.0,20.770000457763672,88131000.0,84.80999755859375,120410000.0,150.30328369140625,6151200.0,9.5,338584400.0
2019-01-22,99.4374762348476,99.76349932573892,97.67694443726408,98.4407730102539,32371300.0,1282.5,7.0,20.799999237060547,0.0,148.197509765625,968500.0,3.6838128566741934,661552000.0,19.76000022888184,78513700.0,81.6084976196289,128336000.0,146.79481506347656,5203300.0,9.5,338584400.0
2019-01-23,98.85064197119937,99.707619046763,98.12406703485183,99.40022277832033,25874300.0,1283.0999755859375,14.0,19.520000457763672,0.0,150.63185119628906,1458900.0,3.696688413619995,591020000.0,19.799999237060547,77811300.0,82.0009994506836,104504000.0,147.583251953125,3335400.0,9.5,338584400.0
2019-01-24,99.5399097873647,99.67031898197725,98.12402837904555,98.92511749267578,23164800.0,1279.0999755859375,1.0,18.88999938964844,0.0,156.93142700195312,1385700.0,3.90840220451355,708972000.0,20.850000381469727,97433400.0,82.74649810791016,81798000.0,144.74490356445312,6734700.0,9.5,338584400.0
2019-01-25,99.89390181836622,100.49006031768444,98.92514248028162,99.82869720458984,31225600.0,1297.4000244140625,0.0,17.420000076293945,0.0,164.14149475097656,1352900.0,3.965601682662964,1154572000.0,21.93000030517578,110239500.0,83.52850341796875,98918000.0,147.57339477539062,4600800.0,9.5,338584400.0
2019-01-28,98.98104271102594,99.1859735390432,97.4906463801326,97.88187408447266,29476700.0,1302.4000244140625,54.0,18.8700008392334,0.0,161.80938720703125,2261100.0,3.417376041412353,2511528000.0,20.18000030517578,135164100.0,81.89450073242188,96754000.0,145.19825744628906,4054700.0,9.5,338584400.0
2019-01-29,97.695560516658,97.77939907751724,95.17120042426149,95.88845825195312,31490500.0,1308.199951171875,213607.0,19.1299991607666,0.0,162.23678588867188,966800.0,3.258652925491333,1153932000.0,19.25,131202500.0,79.69400024414062,92656000.0,143.07936096191406,3915100.0,9.5,338584400.0
2019-01-30,97.45338678308951,99.0928192138672,97.18325133435708,99.0928192138672,49471900.0,1309.9000244140625,54958.0,17.65999984741211,0.0,164.63400268554688,687600.0,3.4020233154296875,974228000.0,23.09000015258789,211421200.0,83.52149963378906,115676000.0,147.0017852783203,4653400.0,9.5,338584400.0
2019-01-31,96.68956373719216,98.0122901285823,96.11203200963544,97.27640533447266,55636400.0,1319.699951171875,1970.0,16.56999969482422,0.0,162.6270294189453,562100.0,3.559509038925171,842852000.0,24.40999984741211,182575600.0,85.9365005493164,218206000.0,149.7711181640625,8615900.0,9.5,338584400.0
2019-02-01,96.67091656225128,96.96899580836966,95.33887337655392,95.73941802978516,35535700.0,1316.9000244140625,878.0,16.139999389648438,0.0,165.76754760742188,795000.0,3.583775281906128,625048000.0,24.51000022888184,105356200.0,81.3115005493164,230124000.0,153.61465454101562,5959200.0,9.5,338584400.0
2019-02-04,95.823247091648,98.55253780541533,95.7300915622226,98.49664306640624,31315100.0,1314.300048828125,675.0,15.729999542236328,0.0,166.83602905273438,543000.0,3.6939659118652335,528592000.0,24.1299991607666,70843800.0,81.66549682617188,98582000.0,155.4379119873047,5264700.0,9.5,338584400.0
2019-02-05,98.79472539302655,99.92183768821825,98.70157696743796,99.8752670288086,27325400.0,1314.199951171875,362.0,15.56999969482422,0.0,168.74075317382812,650800.0,3.713031768798828,542424000.0,23.309999465942383,122226000.0,82.94049835205078,89062000.0,156.68955993652344,4575600.0,9.5,338584400.0
2019-02-06,99.67034704787112,99.67034704787112,98.30104301209283,98.76679229736328,20609800.0,1309.5,358.0,15.380000114440918,0.0,173.61874389648438,1554900.0,3.788555383682251,702464000.0,23.26000022888184,78684300.0,82.01300048828125,78798000.0,155.8419647216797,4205100.0,9.5,338584400.0
2019-02-07,97.984353910776,98.3569477182256,97.14600363047175,98.05886840820312,29760700.0,1309.4000244140625,203.0,16.3700008392334,0.0,168.26690673828125,1474500.0,3.650383949279785,637120000.0,22.670000076293945,86723900.0,80.71849822998047,92532000.0,152.68826293945312,4545500.0,9.5,338584400.0
2019-02-08,97.23912534845508,98.53390766165148,97.1180331050029,98.4314422607422,21461100.0,1313.699951171875,122.0,15.720000267028809,0.0,168.23902893066406,633100.0,3.66895604133606,461604000.0,23.049999237060547,78129300.0,79.41100311279297,113150000.0,154.40309143066406,3018700.0,9.5,338584400.0
2019-02-11,98.92515064403749,99.27912466812352,97.77941132073386,98.04022979736328,18914100.0,1307.0,119.0,15.970000267028809,0.0,165.86973571777344,653300.0,3.6263656616210938,495180000.0,22.959999084472656,60578700.0,79.55000305175781,66346000.0,157.59622192382812,7125500.0,9.5,338584400.0
2019-02-12,98.86926239154354,99.80076100620424,98.25447700138812,99.56788635253906,25056600.0,1309.199951171875,109.0,15.43000030517578,0.0,169.837158203125,901600.0,3.743241310119629,591060000.0,22.81999969482422,67595400.0,81.90049743652344,97172000.0,160.4345703125,5631700.0,9.5,338584400.0
2019-02-13,100.13609105130074,100.39690950021166,99.40020636657648,99.49335479736328,18394900.0,1310.800048828125,143.0,15.649999618530272,0.0,169.3911590576172,653800.0,3.7855842113494873,605372000.0,22.850000381469727,57544200.0,82.0,71206000.0,158.0791473388672,5296000.0,9.5,338584400.0
2019-02-14,99.02762914786162,99.94050104347606,98.42216065000044,99.57721710205078,21784700.0,1309.800048828125,858.0,16.219999313354492,0.0,171.26800537109375,1060100.0,3.8264408111572266,827264000.0,23.1299991607666,64441200.0,81.13249969482422,82410000.0,157.16259765625,5061100.0,9.5,338584400.0
2019-02-15,100.51803088214614,100.88131481655736,100.00570374040146,100.80679321289062,26606900.0,1318.0999755859375,190.0,14.90999984741211,0.0,171.30516052246094,824400.0,3.896022081375122,1516748000.0,23.68000030517578,78644100.0,80.39749908447266,86878000.0,156.74868774414062,5282000.0,9.5,338584400.0
2019-02-19,100.40622599309604,101.21663226126545,100.39690901803118,100.76019287109376,18038500.0,1340.0999755859375,390.0,14.880000114440918,0.0,169.53050231933594,900500.0,3.87868857383728,551892000.0,23.950000762939453,57517900.0,81.37899780273438,73634000.0,158.2860870361328,3883200.0,9.5,338584400.0
2019-02-20,100.90051571423172,100.97535556186592,99.43181760573437,100.236328125,21607700.0,1343.300048828125,581.0,14.020000457763672,0.0,170.82208251953125,600400.0,3.925983190536499,540988000.0,23.950000762939453,57091600.0,81.1050033569336,66752000.0,156.2460479736328,7047200.0,9.5,338584400.0
2019-02-21,100.00246857172826,102.41600036164678,99.97440541044664,102.35051727294922,29063200.0,1323.5,414.0,14.460000038146973,0.0,169.59559631347656,712700.0,3.857145547866821,448548000.0,23.920000076293945,49608200.0,80.97200012207031,69668000.0,157.3203125,4463000.0,9.5,338584400.0
2019-02-22,102.949238430364,104.02503118419928,102.73407559732344,103.80987548828124,27763200.0,1329.199951171875,718.0,13.510000228881836,0.0,171.788330078125,495600.0,3.941831350326538,401740000.0,24.36000061035156,52650700.0,81.5780029296875,61924000.0,158.97596740722656,4175000.0,9.5,338584400.0
2019-02-25,104.548898555041,104.94179713341468,104.08116011303738,104.38986206054688,23750600.0,1325.9000244140625,185.0,14.850000381469728,0.0,173.7395477294922,737200.0,3.929450750350952,656020000.0,24.709999084472656,63221000.0,81.6500015258789,63690000.0,159.02523803710938,5076700.0,9.5,338584400.0
2019-02-26,104.08116812105814,105.93340849711564,103.99697148371584,105.11019134521484,21536700.0,1325.0999755859375,939.0,15.170000076293944,0.0,172.22503662109375,660600.0,3.8900790214538574,488464000.0,24.209999084472656,48470100.0,81.81999969482422,53316000.0,160.64151000976562,4496300.0,9.5,338584400.0
2019-02-27,104.48340920138725,105.11017696322716,103.72566811747755,104.93243408203124,21487100.0,1317.699951171875,604.0,14.699999809265137,0.0,171.0728759765625,387900.0,3.848231554031372,500256000.0,23.479999542236328,62649300.0,82.05449676513672,62976000.0,160.75978088378906,4278300.0,9.5,338584400.0
2019-02-28,104.81080177195452,105.59659871001595,104.52080630249668,104.80144500732422,29083900.0,1312.800048828125,141.0,14.779999732971191,0.0,169.9114990234375,318500.0,3.8236916065216064,324944000.0,23.530000686645508,39384900.0,81.99150085449219,60518000.0,161.2821044921875,6908100.0,9.5,338584400.0
2019-03-01,105.60596775127948,105.72757715712972,104.46468499579466,105.26919555664062,23501200.0,1296.4000244140625,110.0,13.56999969482422,0.0,171.9927520751953,389800.0,3.877975702285767,357188000.0,23.68000030517578,48084000.0,83.58650207519531,99498000.0,162.14938354492188,6919900.0,9.5,338584400.0
2019-03-04,105.72756629677257,105.94272906345957,103.65081415931894,105.01660919189452,26608000.0,1284.800048828125,28.0,14.630000114440918,0.0,172.50381469726562,558300.0,3.886155366897583,409992000.0,23.3700008392334,48147700.0,84.80850219726562,123348000.0,156.20663452148438,17886300.0,9.5,338584400.0
2019-03-05,105.00727481913144,105.1382410051744,104.05309158694376,104.49275970458984,19538300.0,1282.0,114.0,14.739999771118164,0.0,171.45384216308594,258700.0,3.879711389541626,362924000.0,23.5,35462600.0,84.62149810791016,73630000.0,154.69879150390625,16042900.0,9.5,338584400.0
2019-03-06,104.65179531117776,105.39082286170616,104.24018322300454,104.53953552246094,17687000.0,1284.9000244140625,14.0,15.739999771118164,0.0,168.3226776123047,499300.0,3.768911600112915,403524000.0,22.40999984741211,60479400.0,83.44750213623047,79920000.0,154.52139282226562,7436300.0,9.5,338584400.0
2019-03-07,104.21210642016798,104.35242935341722,102.78082820269172,103.26727294921876,25339000.0,1283.800048828125,11.0,16.59000015258789,0.0,164.9405975341797,648300.0,3.6997554302215576,450104000.0,22.07999992370605,52186300.0,81.29750061035156,99140000.0,153.34860229492188,6916500.0,9.5,338584400.0
2019-03-08,102.1166548182779,103.56663963144553,101.77988258643158,103.37954711914062,22818400.0,1297.0,10.0,16.049999237060547,0.0,166.1670684814453,415700.0,3.733961582183838,422416000.0,22.01000022888184,49967700.0,81.04000091552734,93340000.0,152.81642150878906,4800700.0,9.5,338584400.0
2019-03-11,103.8285619126434,105.66209547609726,103.81921228392213,105.54984283447266,26491600.0,1288.800048828125,9.0,14.329999923706056,0.0,168.257568359375,609900.0,3.994229316711426,859728000.0,22.959999084472656,54420200.0,83.53099822998047,77528000.0,155.368896484375,5699500.0,9.5,338584400.0
2019-03-12,105.54049507990317,106.63500125192128,105.38146573260926,106.28887939453124,26132700.0,1296.300048828125,1.0,13.770000457763672,0.0,169.57696533203125,509000.0,4.0284342765808105,579576000.0,23.489999771118164,56410600.0,83.65499877929688,72290000.0,155.9898223876953,4082100.0,9.5,338584400.0
2019-03-13,106.76593927306166,107.57980646524888,106.4385238982001,107.11206817626952,35513800.0,1307.5,0.0,13.40999984741211,0.0,169.59559631347656,418500.0,4.179637432098389,768900000.0,23.3799991607666,56705800.0,84.54049682617188,71040000.0,157.49766540527344,5230600.0,9.5,338584400.0
2019-03-14,107.14951187609964,107.76692284327532,106.95306260758368,107.19628143310548,30763400.0,1293.4000244140625,1.0,13.5,0.0,170.3017120361328,524100.0,4.103788375854492,519384000.0,22.81999969482422,42818600.0,84.31099700927734,58932000.0,158.34523010253906,3247200.0,9.5,338584400.0
2019-03-15,107.89787800242888,109.68464190620725,107.19627048490516,108.4311065673828,54681100.0,1301.800048828125,26.0,12.880000114440918,0.0,179.1470947265625,1445100.0,4.209133625030518,661484000.0,23.290000915527344,46519900.0,85.61799621582031,151018000.0,159.17308044433594,6743700.0,9.5,338584400.0
2019-03-18,108.67433228286708,110.02142108610472,108.56207964067806,109.98400115966795,31207600.0,1300.300048828125,8.0,13.100000381469728,0.0,177.130859375,589500.0,4.187817096710205,486992000.0,23.25,34731800.0,87.10749816894531,108582000.0,159.6067352294922,3575500.0,9.5,338584400.0
2019-03-19,110.47044279551112,110.79786535826464,109.4414198276143,110.058837890625,37588700.0,1305.0,20.0,13.5600004196167,0.0,177.288818359375,683400.0,4.355379104614258,854972000.0,26.0,156052200.0,88.09249877929688,127284000.0,161.5580596923828,4379000.0,9.5,338584400.0
2019-03-20,109.81561593275109,111.0878648932349,109.17949145250918,109.93722534179688,28113300.0,1300.5,2.0,13.90999984741211,0.0,177.595458984375,584100.0,4.322909832000732,719148000.0,25.700000762939453,151292100.0,89.8635025024414,125312000.0,161.14410400390625,4391000.0,9.5,338584400.0
2019-03-21,109.58174267775873,113.02429730126065,109.53496598679595,112.4630126953125,29854400.0,1306.0999755859375,0.0,13.630000114440918,0.0,180.58729553222656,770100.0,4.559378623962402,824312000.0,27.88999938964844,129610300.0,90.96299743652344,115356000.0,164.53436279296875,4277800.0,9.5,338584400.0
2019-03-22,111.78946603234604,111.87365550981598,109.48819419892963,109.49755096435548,33624500.0,1311.5999755859375,0.0,16.479999542236328,0.0,174.44566345214844,937000.0,4.399747848510742,747644000.0,26.3700008392334,115323300.0,88.2385025024414,127260000.0,159.16322326660156,5614300.0,9.5,338584400.0
2019-03-25,109.03916145254556,110.39560694464828,108.81464904379506,110.06819152832033,27067100.0,1321.9000244140625,19.0,16.329999923706055,0.0,173.1263427734375,1028700.0,4.307539939880371,525212000.0,25.96999931335449,78438200.0,88.71299743652344,102076000.0,158.5522003173828,3795400.0,9.5,338584400.0
2019-03-26,110.9662506000597,111.05044007866556,109.31045281626866,110.30206298828124,26097700.0,1314.300048828125,1.0,14.68000030517578,0.0,174.0182647705078,414800.0,4.384134292602539,703508000.0,25.690000534057617,75754100.0,89.18800354003906,97318000.0,157.0935821533203,6910300.0,9.5,338584400.0
2019-03-27,110.27398296647507,110.58269196837978,108.06625754086872,109.23560333251952,22733400.0,1309.9000244140625,206263.0,15.149999618530272,0.0,171.01715087890625,786700.0,4.374961853027344,474372000.0,24.88999938964844,88585300.0,88.28500366210938,86496000.0,152.8755340576172,8218700.0,9.5,338584400.0
2019-03-28,109.86240249935248,109.99336868613275,108.63692298430551,109.38530731201172,18334800.0,1289.800048828125,87798.0,14.43000030517578,0.0,171.147216796875,312100.0,4.393552303314209,480264000.0,25.059999465942383,64667500.0,88.6709976196289,60860000.0,152.93467712402344,4424800.0,9.5,338584400.0
2019-03-29,110.45174094038818,110.6856101307538,109.41336116419514,110.33013153076172,25399800.0,1293.0,1265.0,13.710000038146973,0.0,174.72439575195312,687400.0,4.45081090927124,456896000.0,25.520000457763672,53502800.0,89.0374984741211,66416000.0,156.0784912109375,4913100.0,9.5,338584400.0
2019-04-01,111.27494813132247,111.42462782580613,110.47979438145998,111.3404312133789,22789100.0,1288.4000244140625,675.0,13.399999618530272,0.0,178.84048461914062,647500.0,4.518231391906738,483824000.0,26.36000061035156,63000300.0,90.70950317382812,84776000.0,158.84783935546875,4601100.0,9.5,338584400.0
2019-04-02,111.37785702929526,111.77076267954062,110.87269873936926,111.49947357177734,18142300.0,1290.0,525.0,13.359999656677246,0.0,180.10414123535156,498300.0,4.53607988357544,440920000.0,26.75,53358800.0,90.6989974975586,68962000.0,158.18756103515625,3158400.0,9.5,338584400.0
