date,Close,High,Low,Open,Volume
2019-01-09,151.3751678466797,152.0348620934993,149.56335150333197,150.42744307572806,779900
2019-01-10,151.08712768554688,151.49595066566602,149.1359322540766,149.86065874518945,1028100
2019-01-11,150.5389404296875,151.79326820401073,149.47042323950046,150.0557847073636,639600
2019-01-14,147.4449462890625,148.98731913570566,147.0454094824511,148.75503458088076,680200
2019-01-15,147.9466552734375,149.48902791766577,147.0639769164469,147.65862473165848,482700
2019-01-16,146.1348876953125,148.09537030355216,146.05126864118796,147.89095871956306,537600
2019-01-17,146.37643432617188,147.3892057981521,144.22084094877582,144.7411561027154,953000
2019-01-18,151.17076110839844,152.38792971133182,147.60287432326805,147.900191133268,1664700
2019-01-22,148.197509765625,149.59121675401647,146.77592977166736,149.4982972837821,968500
2019-01-23,150.63185119628906,152.42509494637497,149.275317627125,151.75611443808106,1458900
2019-01-24,156.93142700195312,157.52607484758573,155.43551402156936,155.65851228025272,1385700
2019-01-25,164.14149475097656,164.30873275751182,160.39707037779695,160.93597202805228,1352900
2019-01-28,161.80938720703125,162.99868278763796,159.10560623187536,159.5701752610974,2261100
2019-01-29,162.23678588867188,162.39473764653363,160.1183523940826,162.07883413081012,966800
2019-01-30,164.63400268554688,165.00565230076592,161.42847867732945,162.73855278636722,687600
2019-01-31,162.6270294189453,164.00214974346696,161.91158916102634,162.3297126195315,562100
2019-02-01,165.76754760742188,165.97195914308702,163.6955592393182,164.26233410138548,795000
2019-02-04,166.83602905273438,166.98469454606905,165.2564971742382,165.7860985001506,543000
2019-02-05,168.74075317382812,169.22390890475577,166.8360174335071,167.0683019340945,650800
2019-02-06,173.61874389648438,173.79528240181708,170.9799951260433,171.00786813451455,1554900
2019-02-07,168.26690673828125,170.9706876922758,167.53287973844323,170.55257840475264,1474500
2019-02-08,168.23902893066406,168.7035979429948,165.23790290319226,165.4887741395568,633100
2019-02-11,165.86973571777344,167.14265036366214,165.45162641297634,166.70595432736766,653300
2019-02-12,169.837158203125,170.2738542729764,167.54219998888385,167.54219998888385,901600
2019-02-13,169.3911590576172,170.58975510580328,169.18674754827572,169.67918959054697,653800
2019-02-14,171.26800537109375,171.76973364164687,169.71634664745966,170.19948818872697,1060100
2019-02-15,171.30516052246094,171.98344143859703,170.496815037021,171.97414098541816,824400
2019-02-19,169.53050231933594,170.58971892604094,168.1089083322267,168.11820878455632,900500
2019-02-20,170.82208251953125,171.2123189051272,168.92663244375052,168.9823784734749,600400
2019-02-21,169.59559631347656,170.3017362490696,168.3040947688574,168.9266156681678,712700
2019-02-22,171.788330078125,172.01132830959418,170.32029028704227,171.2494283185487,495600
