date,Close,High,Low,Open,Volume
2019-04-02,111.49947357177734,111.77076267954062,110.87269873936926,111.37785702929526,18142300
2019-04-03,112.2291488647461,112.65946732105716,111.46205820138788,112.1262458494194,22860700
2019-04-04,111.6584930419922,112.47236029340806,110.74172278854256,112.35074376166614,20112800
2019-04-05,112.15431213378906,112.47237795468952,111.66786734179728,111.68657373732248,15826200
2019-04-08,112.19173431396484,112.2759238012004,110.98496837040328,112.07947452719574,15116200
2019-04-09,111.58365631103516,111.82688224418555,110.92882549538471,110.9755950467194,17612000
2019-04-10,112.43495178222656,112.58462434948032,111.82689047316552,112.03269649812044,16477200
2019-04-11,112.56590270996094,113.05234740905686,112.18235387228594,112.7623519425066,14209100
2019-04-12,113.14591217041016,113.17398246861612,112.60334106949092,112.85591665637388,19745100
2019-04-15,113.23946380615234,113.7352653433058,112.7904318243764,113.13656079235206,15792600
2019-04-16,112.97753143310548,113.80075559533736,112.35076368204014,113.79139882882426,14071800
2019-04-17,113.91300201416016,113.98784186792793,112.76236959524611,113.41720047291092,19300900
2019-04-18,115.40975952148438,115.55007531249971,113.47332309714598,114.30589676373316,27991000
2019-04-22,115.7746353149414,115.9991477961524,114.6614154030183,114.70819210778534,15648700
2019-04-23,117.34619140625,117.4771575642116,115.84007345257136,116.09264900374863,24025500
2019-04-24,116.94395446777344,117.72975153850965,116.48556570605588,117.67362521549175,31257000
2019-04-25,120.81683349609376,122.89359331427688,120.5174883167198,121.66812088379604,38033900
2019-04-26,121.5090789794922,122.09843392154195,120.69521874465616,121.33133610654112,23654900
2019-04-29,121.39680480957033,121.7803393748275,121.00390634261194,121.51840706352192,16324200
2019-04-30,122.17326354980467,122.2668026558876,121.04133045454007,121.43422895826848,24166500
2019-05-01,119.62876892089844,122.22003647987704,119.46038281379764,122.10778383322416,26821700
2019-05-02,118.06652069091795,119.74102494306064,117.42103944445547,119.72231854824663,27350200
2019-05-03,120.58293914794922,121.07874064972248,119.03940832533304,119.1423113317902,24911100
2019-05-06,119.8813247680664,120.26487361328238,117.97295871806791,118.23489103327869,24239800
2019-05-07,117.4210433959961,118.9739382913038,116.20492785276528,118.30039386139306,36017700
2019-05-08,117.41171264648438,118.21622338522852,116.70074817424296,117.3462295462202,28419000
2019-05-09,117.40234375,117.67363289081716,115.5968731582402,116.27041762687296,27235800
2019-05-10,118.9271469116211,119.67553110513674,115.83072140676327,116.85039469200036,30915100
2019-05-13,115.39105987548828,117.44911308249895,115.10106435633593,116.1020242297008,33944900
2019-05-14,116.6820068359375,117.75779928426198,115.71845988183324,115.87749633810007,25266300
2019-05-15,118.32513427734376,118.97300472414544,116.14679526190169,116.67260617151788,24722700
2019-05-16,121.05745697021484,121.47999118632816,118.7382825353844,119.01057583676588,30112200
2019-05-17,120.25000762939452,122.49407281564774,120.1091580859066,120.47534397564394,25770500
2019-05-20,118.51294708251952,119.79928963723596,118.08103576395764,118.79462463973464,23706900
2019-05-21,119.1514129638672,119.7429422152896,118.85095263819464,119.64904970668051,15293300
2019-05-22,119.87442016601562,120.409622629093,118.7946381649041,118.88853785820665,15396500
2019-05-23,118.47540283203124,118.5786867644425,117.12332747213196,118.49417847267834,23603800
2019-05-24,118.53174591064452,119.63969504494756,118.27823534319974,119.16084095493612,14123400
2019-05-28,118.45661926269533,120.18426462822669,118.3533353371972,119.22654942142827,23128400
2019-05-29,117.31111907958984,117.7336390455667,116.4660719840953,117.72424764352208,22763100
2019-05-30,118.0528793334961,118.08104637539486,117.16088241330488,117.61157657430708,16829600
2019-05-31,116.1280517578125,117.01065728739484,115.79003292365503,116.64447141098104,26646800
