date,Close,High,Low,Open,Volume
2019-01-11,145.41506958007812,145.88812014378263,143.50313746101438,144.43938869430673,5185200
2019-01-14,143.936767578125,144.60692126305213,142.6062950639826,143.64110534853717,5815500
2019-01-15,147.03135681152344,147.6916607074226,143.69040767489477,144.2324526754114,5350400
2019-01-16,146.39073181152344,147.62264525595126,145.66144867674598,146.99190617392446,3936800
2019-01-17,147.65223693847656,148.53920867489705,145.55305144747237,146.39074363453457,3743200
2019-01-18,150.30328369140625,151.0522966579358,148.06613979928574,149.63313002451693,6151200
2019-01-22,146.79481506347656,149.1896628155177,145.2672392595665,148.1647023244524,5203300
2019-01-23,147.583251953125,148.61806240346974,145.51363105243556,147.56353712452574,3335400
2019-01-24,144.74490356445312,148.32238517519298,144.39997680777986,147.7803402284132,6734700
2019-01-25,147.57339477539062,147.7212183875702,145.41507980952488,146.3808958311152,4600800
2019-01-28,145.19825744628906,146.05566444712017,143.98605874890598,146.02609972557474,4054700
2019-01-29,143.07936096191406,145.85856516505936,142.54718092195395,144.9420286967927,3915100
2019-01-30,147.0017852783203,147.52411542607535,143.96634845404148,145.0602882996809,4653400
2019-01-31,149.7711181640625,151.16072021310674,146.55829314217914,146.86380528671936,8615900
2019-02-01,153.61465454101562,153.69349879600438,148.88411954572274,150.19486205064916,5959200
2019-02-04,155.4379119873047,156.60083106075237,153.16133834778805,153.76251271026695,5264700
2019-02-05,156.68955993652344,157.5666818177085,155.53649061213463,156.04895584208,4575600
2019-02-06,155.8419647216797,156.79793064433193,152.83609326581458,156.69937156525276,4205100
2019-02-07,152.68826293945312,154.787448126209,151.14098757230818,153.7033733874844,4545500
2019-02-08,154.40309143066406,154.43265614832998,150.50039831871462,150.69750144915565,3018700
2019-02-11,157.59622192382812,159.16321216825182,155.2900836352794,155.9109577665007,7125500
2019-02-12,160.4345703125,161.02589487403625,157.7145104130516,158.9168593269692,5631700
2019-02-13,158.0791473388672,161.20329346590762,157.95103855014875,161.07516963918133,5296000
2019-02-14,157.16259765625,158.1185637339354,154.44253806578828,157.16259765625,5061100
2019-02-15,156.74868774414062,158.88728792561108,155.80257149304393,158.66062003635128,5282000
2019-02-19,158.2860870361328,159.1434939368042,156.8373556976159,157.34983587454835,3883200
2019-02-20,156.2460479736328,159.153375893035,154.93530523000564,158.01015654451126,7047200
2019-02-21,157.3203125,158.15800479608612,155.0240235507126,155.41822992086972,4463000
2019-02-22,158.97596740722656,159.37018874126534,157.8820276420291,158.1481251627545,4175000
2019-02-25,159.02523803710938,160.70063725831656,158.60145200653037,160.15859235315986,5076700
2019-02-26,160.64151000976562,161.01601650170477,157.55679399312183,158.48319529128358,4496300
2019-02-27,160.75978088378906,161.1638521249321,158.17769497425314,159.94178850708727,4278300
2019-02-28,161.2821044921875,162.21837075407436,159.8235231632573,160.6415155069023,6908100
2019-03-01,162.14938354492188,163.74593865065734,159.409609086385,162.7604078371403,6919900
2019-03-04,156.20663452148438,163.39114756193246,153.17119780003918,163.16447968462523,17886300
2019-03-05,154.69879150390625,158.5522210547776,152.560191187343,157.6061047439159,16042900
2019-03-06,154.52139282226562,157.9313365654575,154.01877744563137,154.85648477803085,7436300
2019-03-07,153.34860229492188,155.30979901119278,152.57002452234633,153.83150277456312,6916500
2019-03-08,152.81642150878906,153.16136334477278,148.07602020643156,149.82041413930608,4800700
2019-03-11,155.368896484375,155.48717038481294,151.2099560580666,153.64421789652687,5699500
2019-03-12,155.9898223876953,157.06404740956862,154.88603264323888,155.7138749515812,4082100
2019-03-13,157.49766540527344,159.65598013540708,156.31503152298268,156.55156431464312,5230600
2019-03-14,158.34523010253906,159.25191662407858,157.42869368678947,158.6211775204856,3247200
2019-03-15,159.17308044433594,159.83338430211717,156.88665671688526,158.31567342629282,6743700
2019-03-18,159.6067352294922,160.9667727601928,158.55222492691234,159.0646901963862,3575500
2019-03-19,161.5580596923828,162.23807836252988,159.26178612108438,160.1684726686115,4379000
2019-03-20,161.14410400390625,162.5632704828957,159.17304279153285,161.4693309085083,4391000
2019-03-21,164.53436279296875,164.57379244595063,160.39513647225382,160.80905760052465,4277800
